# step  reward  validity
# model=llama-3.2-1b  task=T2  seed=seed_42
# classification=sustained  size_group=small
945  2.0000  1.0000
946  2.0000  1.0000
947  2.0000  1.0000
948  2.0000  1.0000
949  2.0000  1.0000
950  2.0000  1.0000
951  2.0000  1.0000
952  2.0000  1.0000
953  2.0000  1.0000
954  1.9600  0.9800
955  1.9600  0.9800
956  1.9600  0.9800
957  1.9600  0.9800
958  1.9600  0.9800
959  1.9600  0.9800
960  1.9600  0.9800
961  1.9600  0.9800
962  1.9600  0.9800
963  1.9600  0.9800
964  1.9600  0.9800
965  1.9600  0.9800
966  1.9600  0.9800
967  1.9600  0.9800
968  1.9600  0.9800
969  1.9600  0.9800
970  1.9600  0.9800
971  1.9600  0.9800
972  1.9600  0.9800
973  1.9600  0.9800
974  1.9600  0.9800
975  1.9600  0.9800
976  1.9600  0.9800
977  1.9600  0.9800
978  1.9600  0.9800
979  1.9600  0.9800
980  1.9600  0.9800
981  1.9600  0.9800
982  1.9600  0.9800
983  1.9600  0.9800
984  1.9600  0.9800
985  1.9600  0.9800
986  1.9600  0.9800
987  1.9600  0.9800
988  1.9600  0.9800
989  1.9600  0.9800
990  1.9600  0.9800
991  1.9600  0.9800
992  1.9600  0.9800
993  1.9600  0.9800
994  1.9600  0.9800
995  1.9600  0.9800
996  1.9600  0.9800
997  1.9600  0.9800
998  1.9600  0.9800
999  1.9600  0.9800
