# step  reward  validity
# model=llama-3.2-1b  task=Mixed  seed=seed_42
# classification=transient  size_group=small
510  1.4000  0.7000
511  1.3600  0.6800
512  1.4000  0.7000
513  1.4000  0.7000
514  1.3600  0.6800
515  1.3600  0.6800
516  1.4000  0.7000
517  1.4000  0.7000
518  1.4000  0.7000
519  1.4000  0.7000
520  1.3600  0.6800
521  1.3600  0.6800
522  1.3200  0.6600
523  1.3600  0.6800
524  1.4000  0.7000
525  1.3600  0.6800
526  1.3200  0.6600
527  1.3200  0.6600
528  1.2800  0.6400
529  1.2400  0.6200
530  1.2400  0.6200
531  1.2400  0.6200
532  1.2000  0.6000
533  1.2400  0.6200
534  1.2000  0.6000
535  1.2000  0.6000
536  1.2000  0.6000
537  1.2400  0.6200
538  1.2400  0.6200
539  1.2400  0.6200
540  1.2800  0.6400
541  1.2400  0.6200
542  1.2400  0.6200
543  1.2400  0.6200
544  1.2400  0.6200
545  1.2400  0.6200
546  1.2000  0.6000
547  1.2000  0.6000
548  1.2000  0.6000
549  1.1600  0.5800
550  1.1600  0.5800
551  1.1600  0.5800
552  1.1200  0.5600
553  1.1200  0.5600
554  1.1200  0.5600
555  1.1200  0.5600
556  1.0800  0.5400
557  1.1200  0.5600
558  1.1200  0.5600
559  1.1200  0.5600
560  1.1600  0.5800
561  1.2000  0.6000
562  1.2000  0.6000
563  1.2400  0.6200
564  1.2800  0.6400
565  1.2800  0.6400
566  1.2800  0.6400
567  1.2800  0.6400
568  1.3200  0.6600
569  1.3200  0.6600
570  1.3600  0.6800
571  1.3200  0.6600
572  1.3200  0.6600
573  1.3200  0.6600
574  1.2800  0.6400
575  1.2800  0.6400
576  1.3200  0.6600
577  1.3600  0.6800
578  1.3600  0.6800
579  1.4000  0.7000
580  1.4000  0.7000
581  1.4000  0.7000
582  1.4000  0.7000
583  1.3600  0.6800
584  1.4000  0.7000
585  1.3600  0.6800
586  1.4000  0.7000
587  1.4000  0.7000
588  1.4000  0.7000
589  1.4000  0.7000
590  1.4000  0.7000
591  1.4400  0.7200
592  1.4000  0.7000
593  1.3600  0.6800
594  1.3600  0.6800
595  1.3600  0.6800
596  1.4000  0.7000
597  1.3600  0.6800
598  1.3600  0.6800
599  1.4000  0.7000
600  1.3600  0.6800
601  1.3600  0.6800
602  1.3600  0.6800
603  1.3600  0.6800
604  1.3600  0.6800
605  1.3600  0.6800
606  1.4000  0.7000
607  1.4000  0.7000
608  1.4000  0.7000
609  1.4000  0.7000
610  1.4000  0.7000
611  1.4000  0.7000
612  1.4000  0.7000
613  1.4000  0.7000
614  1.4000  0.7000
