# step  reward  validity
# model=qwen3-4b  task=T5  seed=seed_42
# classification=transient  size_group=medium
685  0.8800  0.4400
686  0.8800  0.4400
687  0.8800  0.4400
688  0.8800  0.4400
689  0.9200  0.4600
690  0.9200  0.4600
691  0.8800  0.4400
692  0.8800  0.4400
693  0.9200  0.4600
694  0.8800  0.4400
695  0.8400  0.4200
696  0.8400  0.4200
697  0.8800  0.4400
698  0.8800  0.4400
699  0.8400  0.4200
700  0.8400  0.4200
701  0.8800  0.4400
702  0.9200  0.4600
703  0.9600  0.4800
704  0.9200  0.4600
705  0.9200  0.4600
706  0.9600  0.4800
707  0.9200  0.4600
708  0.8800  0.4400
709  0.9200  0.4600
710  0.9200  0.4600
711  0.8800  0.4400
712  0.8800  0.4400
713  0.8800  0.4400
714  0.8800  0.4400
715  0.9200  0.4600
716  0.9200  0.4600
717  0.8800  0.4400
718  0.8800  0.4400
719  0.8400  0.4200
720  0.8400  0.4200
721  0.8400  0.4200
722  0.8000  0.4000
723  0.8000  0.4000
724  0.8000  0.4000
725  0.7600  0.3800
726  0.7600  0.3800
727  0.7600  0.3800
728  0.8000  0.4000
729  0.8000  0.4000
730  0.7600  0.3800
731  0.7600  0.3800
732  0.8000  0.4000
733  0.8400  0.4200
734  0.8000  0.4000
735  0.7600  0.3800
736  0.7600  0.3800
737  0.7600  0.3800
738  0.7600  0.3800
739  0.7200  0.3600
740  0.6800  0.3400
741  0.6800  0.3400
742  0.6800  0.3400
743  0.6400  0.3200
744  0.6400  0.3200
745  0.6400  0.3200
746  0.6400  0.3200
747  0.6400  0.3200
748  0.6000  0.3000
749  0.6400  0.3200
750  0.6400  0.3200
751  0.6000  0.3000
752  0.6000  0.3000
753  0.5600  0.2800
754  0.6000  0.3000
755  0.6000  0.3000
756  0.6000  0.3000
757  0.6000  0.3000
758  0.6000  0.3000
759  0.5600  0.2800
760  0.5600  0.2800
761  0.5600  0.2800
762  0.5200  0.2600
763  0.5200  0.2600
764  0.5200  0.2600
765  0.4800  0.2400
766  0.4800  0.2400
767  0.4800  0.2400
768  0.4800  0.2400
769  0.4800  0.2400
770  0.5200  0.2600
771  0.5600  0.2800
772  0.5600  0.2800
773  0.6000  0.3000
774  0.6000  0.3000
775  0.6000  0.3000
776  0.6000  0.3000
777  0.6000  0.3000
778  0.5600  0.2800
779  0.6000  0.3000
780  0.6000  0.3000
781  0.6000  0.3000
782  0.5600  0.2800
783  0.5200  0.2600
784  0.5200  0.2600
785  0.5200  0.2600
786  0.4800  0.2400
787  0.4400  0.2200
788  0.4800  0.2400
789  0.4800  0.2400
790  0.4800  0.2400
791  0.4800  0.2400
792  0.4800  0.2400
793  0.4800  0.2400
794  0.5200  0.2600
795  0.5600  0.2800
796  0.6000  0.3000
797  0.5600  0.2800
798  0.5600  0.2800
799  0.5200  0.2600
800  0.4800  0.2400
801  0.4800  0.2400
802  0.4800  0.2400
803  0.4800  0.2400
804  0.4400  0.2200
805  0.4000  0.2000
806  0.3600  0.1800
807  0.3600  0.1800
808  0.3600  0.1800
809  0.3600  0.1800
810  0.4000  0.2000
811  0.4400  0.2200
812  0.4800  0.2400
813  0.4800  0.2400
814  0.5200  0.2600
815  0.5600  0.2800
816  0.5600  0.2800
817  0.5600  0.2800
818  0.6000  0.3000
819  0.6000  0.3000
820  0.5600  0.2800
821  0.5600  0.2800
822  0.6000  0.3000
823  0.6000  0.3000
824  0.6400  0.3200
825  0.6400  0.3200
826  0.6800  0.3400
827  0.6800  0.3400
828  0.6800  0.3400
829  0.6400  0.3200
830  0.6800  0.3400
831  0.6800  0.3400
832  0.7200  0.3600
833  0.7600  0.3800
834  0.8000  0.4000
835  0.8400  0.4200
836  0.8800  0.4400
837  0.9200  0.4600
838  0.8800  0.4400
839  0.9200  0.4600
840  0.9200  0.4600
841  0.9200  0.4600
842  0.9600  0.4800
843  0.9600  0.4800
844  0.9600  0.4800
845  0.9600  0.4800
846  0.9200  0.4600
847  0.9600  0.4800
848  0.9600  0.4800
849  1.0000  0.5000
850  1.0400  0.5200
851  1.0800  0.5400
852  1.0400  0.5200
853  1.0800  0.5400
854  1.1200  0.5600
855  1.1200  0.5600
856  1.1200  0.5600
857  1.1200  0.5600
858  1.1200  0.5600
859  1.1600  0.5800
860  1.1600  0.5800
861  1.1200  0.5600
862  1.0800  0.5400
863  1.0800  0.5400
864  1.0400  0.5200
865  1.0000  0.5000
866  1.0000  0.5000
867  1.0400  0.5200
868  1.0000  0.5000
869  1.0000  0.5000
870  1.0000  0.5000
871  0.9600  0.4800
872  0.9600  0.4800
873  0.9600  0.4800
874  0.9200  0.4600
875  0.9200  0.4600
876  0.9200  0.4600
877  0.9600  0.4800
878  0.9600  0.4800
879  0.9600  0.4800
880  0.9200  0.4600
881  0.9200  0.4600
882  0.9200  0.4600
883  0.8800  0.4400
884  0.8400  0.4200
885  0.8000  0.4000
886  0.8000  0.4000
887  0.7600  0.3800
888  0.7600  0.3800
889  0.7200  0.3600
890  0.7200  0.3600
891  0.7200  0.3600
892  0.6800  0.3400
893  0.6800  0.3400
894  0.6400  0.3200
