# step  reward  validity
# model=qwen3-4b  task=Mixed  seed=seed_42
# classification=sustained  size_group=medium
834  1.7200  0.8600
835  1.7200  0.8600
836  1.7200  0.8600
837  1.7200  0.8600
838  1.7200  0.8600
839  1.7200  0.8600
840  1.7200  0.8600
841  1.7200  0.8600
842  1.7200  0.8600
843  1.7600  0.8800
844  1.7600  0.8800
845  1.7200  0.8600
846  1.6800  0.8400
847  1.6800  0.8400
848  1.6800  0.8400
849  1.6800  0.8400
850  1.6800  0.8400
851  1.6800  0.8400
852  1.6800  0.8400
853  1.6800  0.8400
854  1.6800  0.8400
855  1.6800  0.8400
856  1.6800  0.8400
857  1.6800  0.8400
858  1.6800  0.8400
859  1.6800  0.8400
860  1.6800  0.8400
861  1.6800  0.8400
862  1.6400  0.8200
863  1.6400  0.8200
864  1.6400  0.8200
865  1.6000  0.8000
866  1.6000  0.8000
867  1.6000  0.8000
868  1.6000  0.8000
869  1.6000  0.8000
870  1.6000  0.8000
871  1.6000  0.8000
872  1.6400  0.8200
873  1.6400  0.8200
874  1.6400  0.8200
875  1.6400  0.8200
876  1.6400  0.8200
877  1.6800  0.8400
878  1.7200  0.8600
879  1.7200  0.8600
880  1.7200  0.8600
881  1.7200  0.8600
882  1.7600  0.8800
883  1.7600  0.8800
884  1.7600  0.8800
885  1.7600  0.8800
886  1.7600  0.8800
887  1.7600  0.8800
888  1.7600  0.8800
889  1.7200  0.8600
890  1.7200  0.8600
891  1.6800  0.8400
892  1.6800  0.8400
893  1.6400  0.8200
894  1.6000  0.8000
895  1.6000  0.8000
896  1.6400  0.8200
897  1.6400  0.8200
898  1.6000  0.8000
899  1.6000  0.8000
900  1.6000  0.8000
901  1.6000  0.8000
902  1.6000  0.8000
903  1.5600  0.7800
904  1.5600  0.7800
905  1.5600  0.7800
906  1.5600  0.7800
907  1.5600  0.7800
908  1.5600  0.7800
909  1.5600  0.7800
910  1.5600  0.7800
911  1.5600  0.7800
912  1.6000  0.8000
913  1.5600  0.7800
914  1.5600  0.7800
915  1.6000  0.8000
916  1.6000  0.8000
917  1.5600  0.7800
918  1.5600  0.7800
919  1.5600  0.7800
920  1.5600  0.7800
921  1.5600  0.7800
922  1.5600  0.7800
923  1.5600  0.7800
924  1.5600  0.7800
925  1.5600  0.7800
926  1.5600  0.7800
927  1.5600  0.7800
928  1.5600  0.7800
929  1.5600  0.7800
930  1.5200  0.7600
931  1.5600  0.7800
932  1.5600  0.7800
933  1.5600  0.7800
934  1.5600  0.7800
935  1.5600  0.7800
936  1.5600  0.7800
937  1.5600  0.7800
938  1.5600  0.7800
939  1.6000  0.8000
940  1.5600  0.7800
941  1.6000  0.8000
942  1.6000  0.8000
943  1.6400  0.8200
944  1.6800  0.8400
945  1.7200  0.8600
946  1.7200  0.8600
947  1.7200  0.8600
948  1.7600  0.8800
949  1.7200  0.8600
950  1.7200  0.8600
951  1.6800  0.8400
952  1.6800  0.8400
953  1.7200  0.8600
954  1.7200  0.8600
955  1.7200  0.8600
956  1.6800  0.8400
957  1.6800  0.8400
958  1.6800  0.8400
959  1.6400  0.8200
960  1.6400  0.8200
961  1.6400  0.8200
962  1.6400  0.8200
963  1.6400  0.8200
964  1.6800  0.8400
965  1.6800  0.8400
966  1.6800  0.8400
967  1.7200  0.8600
968  1.7200  0.8600
969  1.6800  0.8400
970  1.6800  0.8400
971  1.6800  0.8400
972  1.6800  0.8400
973  1.6800  0.8400
974  1.6800  0.8400
975  1.6800  0.8400
976  1.6800  0.8400
977  1.6800  0.8400
978  1.6800  0.8400
979  1.6800  0.8400
980  1.7200  0.8600
981  1.7200  0.8600
982  1.7200  0.8600
983  1.7200  0.8600
984  1.7200  0.8600
985  1.7200  0.8600
986  1.7200  0.8600
987  1.7200  0.8600
988  1.7200  0.8600
989  1.7200  0.8600
990  1.7600  0.8800
991  1.7600  0.8800
992  1.7600  0.8800
993  1.7600  0.8800
994  1.7600  0.8800
995  1.7600  0.8800
996  1.7600  0.8800
997  1.7600  0.8800
998  1.7600  0.8800
999  1.8000  0.9000
