step  llama_32_1b_mean  llama_32_1b_std  llama_32_3b_mean  llama_32_3b_std  qwen25_3b_mean  qwen25_3b_std  phi_3_mini_mean  phi_3_mini_std  qwen3_4b_mean  qwen3_4b_std  yi_15_6b_mean  yi_15_6b_std  mistral_7b_v03_mean  mistral_7b_v03_std  ministral_8b_mean  ministral_8b_std  llama_31_8b_mean  llama_31_8b_std  gemma_2_9b_mean  gemma_2_9b_std
650  0.9667  0.0249  0.9733  0.0094  0.8867  0.0838  0.0000  0.0000  1.0000  0.0000  0.9133  0.0838  0.6667  0.4714  0.9867  0.0189  1.0000  0.0000  0.9933  0.0094
660  0.9667  0.0249  0.9733  0.0094  0.8733  0.0929  0.0000  0.0000  1.0000  0.0000  0.9267  0.0772  0.6667  0.4714  0.9867  0.0189  1.0000  0.0000  0.9933  0.0094
670  0.9533  0.0249  0.9733  0.0094  0.8800  0.0864  0.0000  0.0000  1.0000  0.0000  0.9333  0.0525  0.6667  0.4714  0.9867  0.0189  1.0000  0.0000  0.9933  0.0094
680  0.9467  0.0189  0.9800  0.0000  0.8933  0.0822  0.0000  0.0000  1.0000  0.0000  0.9333  0.0525  0.6667  0.4714  0.9867  0.0189  1.0000  0.0000  0.9933  0.0094
690  0.9667  0.0094  0.9800  0.0000  0.8933  0.1370  0.0000  0.0000  1.0000  0.0000  0.9667  0.0189  0.6667  0.4714  1.0000  0.0000  0.9933  0.0094  1.0000  0.0000
700  0.9733  0.0189  1.0000  0.0000  0.9000  0.1275  0.0000  0.0000  1.0000  0.0000  0.9533  0.0094  0.6667  0.4714  1.0000  0.0000  0.9933  0.0094  1.0000  0.0000
710  0.9733  0.0189  1.0000  0.0000  0.8600  0.1451  0.0000  0.0000  1.0000  0.0000  0.9467  0.0189  0.6667  0.4714  0.9933  0.0094  0.9933  0.0094  1.0000  0.0000
720  0.9933  0.0094  1.0000  0.0000  0.8133  0.1408  0.0000  0.0000  1.0000  0.0000  0.9400  0.0327  0.6667  0.4714  0.9933  0.0094  0.9933  0.0094  1.0000  0.0000
730  0.9933  0.0094  1.0000  0.0000  0.7800  0.1657  0.0000  0.0000  1.0000  0.0000  0.9333  0.0340  0.6667  0.4714  0.9933  0.0094  0.9933  0.0094  1.0000  0.0000
740  0.9933  0.0094  1.0000  0.0000  0.7800  0.1575  0.0000  0.0000  1.0000  0.0000  0.9333  0.0340  0.6667  0.4714  0.9933  0.0094  1.0000  0.0000  1.0000  0.0000
