step  llama_32_1b_mean  llama_32_1b_std  llama_32_3b_mean  llama_32_3b_std  qwen25_3b_mean  qwen25_3b_std  phi_3_mini_mean  phi_3_mini_std  qwen3_4b_mean  qwen3_4b_std  yi_15_6b_mean  yi_15_6b_std  mistral_7b_v03_mean  mistral_7b_v03_std  ministral_8b_mean  ministral_8b_std  llama_31_8b_mean  llama_31_8b_std  gemma_2_9b_mean  gemma_2_9b_std  gemma_3_12b_mean  gemma_3_12b_std
481  0.9867  0.0189  1.0000  0.0000  1.0000  0.0000  0.9800  0.0163  0.9933  0.0094  0.9467  0.0094  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  0.9933  0.0094  1.0000  0.0000
491  0.9867  0.0189  1.0000  0.0000  1.0000  0.0000  0.9733  0.0249  0.9867  0.0189  0.9133  0.0094  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  0.9933  0.0094  1.0000  0.0000
501  0.9933  0.0094  1.0000  0.0000  1.0000  0.0000  0.9733  0.0249  0.9867  0.0189  0.9400  0.0163  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  0.9933  0.0094  1.0000  0.0000
511  0.9933  0.0094  1.0000  0.0000  1.0000  0.0000  0.9933  0.0094  0.9933  0.0094  0.9400  0.0163  0.9933  0.0094  1.0000  0.0000  1.0000  0.0000  0.9933  0.0094  1.0000  0.0000
521  0.9933  0.0094  1.0000  0.0000  1.0000  0.0000  0.9867  0.0189  0.9933  0.0094  0.9200  0.0283  0.9933  0.0094  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000
531  0.9933  0.0094  1.0000  0.0000  1.0000  0.0000  0.9867  0.0189  0.9933  0.0094  0.9333  0.0377  0.9933  0.0094  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000
541  0.9867  0.0094  1.0000  0.0000  1.0000  0.0000  0.9867  0.0189  1.0000  0.0000  0.9667  0.0189  0.9933  0.0094  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000
551  0.9800  0.0163  1.0000  0.0000  1.0000  0.0000  0.9800  0.0283  0.9933  0.0094  0.9600  0.0283  0.9933  0.0094  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000
561  0.9800  0.0163  1.0000  0.0000  1.0000  0.0000  0.9600  0.0163  0.9933  0.0094  0.9667  0.0340  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000
571  0.9800  0.0163  1.0000  0.0000  1.0000  0.0000  0.9667  0.0094  0.9933  0.0094  0.9867  0.0189  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000
581  0.9800  0.0163  0.9933  0.0094  1.0000  0.0000  0.9667  0.0094  0.9933  0.0094  0.9867  0.0189  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000
591  0.9800  0.0163  0.9933  0.0094  1.0000  0.0000  0.9733  0.0094  0.9933  0.0094  0.9733  0.0094  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000
601  0.9800  0.0283  0.9933  0.0094  1.0000  0.0000  0.9800  0.0163  1.0000  0.0000  0.9800  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000
611  0.9800  0.0283  0.9933  0.0094  1.0000  0.0000  0.9933  0.0094  1.0000  0.0000  0.9800  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000
621  0.9800  0.0283  0.9933  0.0094  1.0000  0.0000  0.9800  0.0163  1.0000  0.0000  0.9667  0.0094  1.0000  0.0000  0.9933  0.0094  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000
631  0.9800  0.0283  1.0000  0.0000  1.0000  0.0000  0.9800  0.0163  1.0000  0.0000  0.9667  0.0094  1.0000  0.0000  0.9933  0.0094  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000
641  0.9867  0.0189  1.0000  0.0000  1.0000  0.0000  0.9733  0.0249  1.0000  0.0000  0.9867  0.0094  1.0000  0.0000  0.9933  0.0094  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000
651  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  0.9667  0.0340  0.9933  0.0094  0.9800  0.0163  1.0000  0.0000  0.9933  0.0094  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000
661  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  0.9667  0.0189  0.9933  0.0094  0.9800  0.0163  1.0000  0.0000  0.9933  0.0094  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000
671  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  0.9733  0.0094  0.9933  0.0094  0.9933  0.0094  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000
681  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  0.9733  0.0094  0.9933  0.0094  0.9933  0.0094  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000
691  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  0.9800  0.0000  0.9933  0.0094  0.9733  0.0249  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000
701  0.9933  0.0094  1.0000  0.0000  1.0000  0.0000  0.9867  0.0094  1.0000  0.0000  0.9800  0.0163  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000
711  0.9933  0.0094  1.0000  0.0000  1.0000  0.0000  0.9933  0.0094  1.0000  0.0000  0.9800  0.0163  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000
721  0.9933  0.0094  1.0000  0.0000  1.0000  0.0000  0.9867  0.0189  1.0000  0.0000  0.9733  0.0249  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000
731  0.9933  0.0094  1.0000  0.0000  1.0000  0.0000  0.9800  0.0163  1.0000  0.0000  0.9733  0.0249  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000
741  0.9933  0.0094  1.0000  0.0000  1.0000  0.0000  0.9667  0.0249  1.0000  0.0000  0.9933  0.0094  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000
751  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  0.9667  0.0249  1.0000  0.0000  0.9933  0.0094  1.0000  0.0000  1.0000  0.0000  0.9933  0.0094  1.0000  0.0000  1.0000  0.0000
761  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  0.9600  0.0327  1.0000  0.0000  0.9867  0.0189  1.0000  0.0000  1.0000  0.0000  0.9933  0.0094  1.0000  0.0000  1.0000  0.0000
771  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  0.9733  0.0189  1.0000  0.0000  0.9933  0.0094  1.0000  0.0000  1.0000  0.0000  0.9933  0.0094  1.0000  0.0000  1.0000  0.0000
781  1.0000  0.0000  0.9933  0.0094  1.0000  0.0000  0.9800  0.0163  1.0000  0.0000  0.9933  0.0094  1.0000  0.0000  1.0000  0.0000  0.9867  0.0189  1.0000  0.0000  1.0000  0.0000
791  1.0000  0.0000  0.9933  0.0094  1.0000  0.0000  0.9933  0.0094  1.0000  0.0000  0.9733  0.0249  0.9933  0.0094  1.0000  0.0000  0.9867  0.0189  1.0000  0.0000  1.0000  0.0000
801  1.0000  0.0000  0.9933  0.0094  1.0000  0.0000  0.9933  0.0094  1.0000  0.0000  0.9733  0.0249  0.9933  0.0094  1.0000  0.0000  0.9933  0.0094  1.0000  0.0000  1.0000  0.0000
811  1.0000  0.0000  0.9933  0.0094  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  0.9800  0.0163  0.9933  0.0094  1.0000  0.0000  0.9933  0.0094  1.0000  0.0000  1.0000  0.0000
