step  llama_32_1b_mean  llama_32_1b_std  llama_32_3b_mean  llama_32_3b_std  qwen25_3b_mean  qwen25_3b_std  phi_3_mini_mean  phi_3_mini_std  qwen3_4b_mean  qwen3_4b_std  yi_15_6b_mean  yi_15_6b_std  mistral_7b_v03_mean  mistral_7b_v03_std  ministral_8b_mean  ministral_8b_std  llama_31_8b_mean  llama_31_8b_std  gemma_2_9b_mean  gemma_2_9b_std
800  0.1867  0.2640  0.2067  0.2923  0.7400  0.0909  0.6067  0.0573  0.9400  0.0000  0.0000  0.0000  0.2000  0.2828  0.6600  0.1020  0.4400  0.1131  0.8133  0.0411
810  0.2200  0.3111  0.2333  0.3300  0.8200  0.1178  0.6800  0.0653  0.9600  0.0000  0.0000  0.0000  0.2267  0.3206  0.7600  0.1143  0.4800  0.1414  0.8867  0.0340
820  0.2267  0.3206  0.2400  0.3394  0.8400  0.1178  0.7067  0.0573  0.9600  0.0000  0.0000  0.0000  0.2333  0.3300  0.7800  0.1143  0.5000  0.1414  0.9067  0.0249
830  0.2000  0.2828  0.2133  0.3017  0.7600  0.1143  0.6267  0.0411  0.9000  0.0000  0.0000  0.0000  0.2067  0.2923  0.7000  0.0993  0.4667  0.1226  0.8133  0.0249
840  0.1733  0.2451  0.1867  0.2640  0.6867  0.1330  0.5467  0.0573  0.8600  0.0000  0.0000  0.0000  0.1800  0.2546  0.6333  0.1037  0.4333  0.0929  0.7267  0.0411
850  0.1867  0.2640  0.1933  0.2734  0.6667  0.1181  0.5667  0.0525  0.8400  0.0000  0.0000  0.0000  0.1867  0.2640  0.6333  0.0754  0.4400  0.0909  0.7133  0.0340
860  0.1600  0.2263  0.1667  0.2357  0.6467  0.1320  0.5200  0.0566  0.8400  0.0000  0.0000  0.0000  0.1600  0.2263  0.5667  0.1087  0.3800  0.0816  0.6667  0.0525
870  0.1200  0.1697  0.1333  0.1886  0.5867  0.1603  0.4400  0.0993  0.8000  0.0000  0.0000  0.0000  0.1333  0.1886  0.4867  0.1370  0.3000  0.0748  0.6133  0.0618
880  0.1533  0.2168  0.1667  0.2357  0.6867  0.1603  0.5467  0.1087  0.8600  0.0000  0.0000  0.0000  0.1667  0.2357  0.5867  0.1370  0.3400  0.1233  0.7067  0.0660
890  0.1600  0.2263  0.1733  0.2451  0.7000  0.1275  0.5800  0.0993  0.8600  0.0000  0.0000  0.0000  0.1800  0.2546  0.6133  0.1181  0.3400  0.1233  0.7333  0.0471
900  0.1333  0.1886  0.1467  0.2074  0.6533  0.1370  0.5200  0.1131  0.8000  0.0000  0.0000  0.0000  0.1533  0.2168  0.5533  0.1464  0.2733  0.1226  0.6800  0.0566
910  0.1467  0.2074  0.1800  0.2546  0.6933  0.0806  0.6200  0.0993  0.7800  0.0000  0.0000  0.0000  0.1933  0.2734  0.6333  0.0899  0.3333  0.1644  0.7333  0.0189
920  0.1667  0.2357  0.1867  0.2640  0.6800  0.0589  0.6333  0.0754  0.7800  0.0000  0.0000  0.0000  0.2067  0.2923  0.6333  0.0618  0.3467  0.1799  0.7267  0.0094
930  0.1667  0.2357  0.1867  0.2640  0.6667  0.0499  0.6200  0.0712  0.7600  0.0000  0.0000  0.0000  0.1867  0.2640  0.6267  0.0525  0.3533  0.1552  0.6933  0.0189
